indy> pool connect SOVRIN_MAINNET protocol-version=2
TRACE|indy_cli::commands::pool::connect_command|               src/commands/pool.rs:76  | execute >> ctx CommandContext { main_prompt: RefCell { value: "indy" }, sub_prompts: RefCell { value: {} }, is_exit: RefCell { value: false }, int_values: RefCell { value: {} }, string_values: RefCell { value: {} }, plugins: RefCell { value: {} } } params {"name": "SOVRIN_MAINNET", "protocol-version": "2"}
 INFO|command_executor              |                src/commands/mod.rs:75  | Worker thread started
TRACE|indy::api::pool               |                    src/api/pool.rs:313 | indy_set_protocol_version: <<< res: Success
 INFO|indy::commands                |                src/commands/mod.rs:115 | PoolCommand command received
 INFO|pool_command_executor         |               src/commands/pool.rs:133 | SetProtocolVersion command received
DEBUG|indy::commands::pool          |               src/commands/pool.rs:229 | set_protocol_version >>> version: 2
DEBUG|indy::commands::pool          |               src/commands/pool.rs:238 | set_protocol_version <<<
TRACE|indy::api::pool               |                    src/api/pool.rs:306 | indy_set_protocol_version:
TRACE|indy::api::pool               |                    src/api/pool.rs:92  | indy_open_pool_ledger: >>> config_name: 0x10ce24150, config: 0x10ce19090
TRACE|indy::api::pool               |                    src/api/pool.rs:98  | indy_open_pool_ledger: entities >>> config_name: "SOVRIN_MAINNET", config: Some(PoolOpenConfig { timeout: 20, extended_timeout: 60, conn_limit: 5, conn_active_timeout: 5, preordered_nodes: [] })
TRACE|indy::api::pool               |                    src/api/pool.rs:113 | indy_open_pool_ledger: <<< res: Success
 INFO|indy::commands                |                src/commands/mod.rs:115 | PoolCommand command received
 INFO|pool_command_executor         |               src/commands/pool.rs:66  | Open command received
DEBUG|indy::commands::pool          |               src/commands/pool.rs:160 | open >>> name: "SOVRIN_MAINNET", config: Some(PoolOpenConfig { timeout: 20, extended_timeout: 60, conn_limit: 5, conn_active_timeout: 5, preordered_nodes: [] })
TRACE|indy::services::pool::pool    |          src/services/pool/pool.rs:466 | Pool::new name SOVRIN_MAINNET, id 1, config PoolOpenConfig { timeout: 20, extended_timeout: 60, conn_limit: 5, conn_active_timeout: 5, preordered_nodes: [] }
DEBUG|indy::commands::pool          |               src/commands/pool.rs:175 | open <<<
TRACE|indy::services::pool::commander|     src/services/pool/commander.rs:22  | cmd_parts [[99, 111, 110, 110, 101, 99, 116], [1, 0, 0, 0], [255, 255, 255, 255]]
TRACE|indy::services::pool::pool    |          src/services/pool/pool.rs:537 | received pool event: Some(CheckCache(1))
TRACE|indy::services::pool::merkle_tree_factory|src/services/pool/merkle_tree_factory.rs:27  | Restoring merkle tree from genesis
